Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B0600;2019;Agglomération de Nice-Menton;;;;;;9,5;11,5;13,9;16,7;19,5;13,3;450;544;680;831;1036;724;54;28476;136314;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Maison 1-3P;8,3;10,2;13,3;16,4;18,5;12,9;475;580;750;950;1200;786;61;220;7508;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Ensemble 4P+;7,5;9,3;11,2;13,2;15,4;11,3;659;800;1000;1247;1553;1071;95;3000;17931;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Maison 4P+;7,3;9,5;11,7;14,2;17,2;11,8;750;950;1190;1550;1800;1291;109;373;5839;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Appart 1P;12,9;15,3;17,6;20,3;23,3;17,4;388;431;495;547;600;494;28;6578;25990;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Appart 2P;10,6;12,5;14,6;16,8;18,9;14,5;488;570;650;721;800;647;45;11172;48177;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Appart 3P;8,8;10,7;12,6;14,3;16,1;12,5;570;695;800;920;1069;814;65;7506;36709;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Appart 4P+;7,5;9,2;11,1;12,9;15,1;11,2;650;800;980;1200;1415;1024;91;2627;12091;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Ensemble 1P;12,9;15,3;17,6;20,3;23,3;17,4;387;431;495;547;600;494;28;6587;26453;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Ensemble 2P;10,6;12,5;14,6;16,8;18,9;14,5;488;570;650;722;800;648;45;11225;50658;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;;Ensemble 3P;8,8;10,7;12,6;14,3;16,2;12,5;562;691;800;925;1086;816;65;7664;41273;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;1. Moins de 1 an;;11;13;15;17,6;20,6;14,6;476;560;700;870;1100;751;52;5805;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 4P+;8,9;10,7;12,5;14,5;16,2;12,5;780;950;1100;1380;1560;1169;93;543;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 1P;14,2;16,3;18,3;21,4;25;18,4;400;450;507;550;610;514;28;1495;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 2P;12;13,8;15,4;17,3;19,8;15,4;525;600;675;750;823;677;44;2387;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 3P;10;12;13,8;15,1;17,2;13,7;660;750;868;995;1120;880;64;1380;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;2. 1 an et plus;;9,2;11,2;13,5;16,3;19,1;13;443;536;670;820;1011;716;55;22671;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 4P+;7,1;9;10,8;12,8;15;11;650;800;980;1200;1552;1047;95;2457;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 1P;12,6;15;17,4;20;22,5;17;378;420;488;542;600;486;29;5092;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 2P;10,3;12,2;14,3;16,6;18,6;14,2;471;559;639;714;800;638;45;8838;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 3P;8,5;10,4;12,3;14;16;12,2;537;669;780;904;1051;799;65;6284;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;;;8,5;10,3;13,2;16;19,5;12,5;400;500;615;779;1000;674;54;5908;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 4P+;6,2;8,4;10,3;12;14,6;10,4;555;750;950;1156;1505;1019;98;741;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 1P;12;14,6;17,6;20,6;24,7;17,1;350;400;450;515;582;458;27;1324;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 2P;9,6;11,5;14;16;18,7;13,8;400;500;592;660;741;586;43;2301;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 3P;7,7;9,4;11,8;13,9;15,9;11,7;487;597;728;850;1000;744;63;1542;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;1. Moins de 1 an;;9,6;11,2;14,5;16,9;20,8;13,5;420;500;640;850;1060;703;52;1112;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;1. Avant 1946;2. 1 an et plus;;8,3;10,1;12,8;15,6;18,9;12,2;400;500;608;761;987;667;55;4796;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;;9,6;11,2;13;15,5;18,1;12,9;468;570;690;820;1002;723;56;6920;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 4P+;7,8;9,7;11,4;12,7;14,9;11,3;643;780;950;1175;1400;1001;88;771;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 1P;12,4;14,2;16,8;19,7;22,5;16,6;388;438;490;538;598;489;30;1533;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 2P;10,5;12;13,7;15,9;17,5;13,8;500;580;648;716;800;652;47;2495;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 3P;9,2;10,7;12,1;13,8;15,4;12,2;600;685;780;880;1020;800;66;2121;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;1. Moins de 1 an;;11;12,5;14,3;16,6;19,2;14,2;491;600;744;880;1100;774;54;1160;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;2. Entre 1946-1970;2. 1 an et plus;;9,2;10,9;12,7;15,2;17,7;12,5;460;563;679;801;986;711;57;5760;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;;9,9;11,9;14,1;16,9;19,8;13,5;465;540;670;828;1015;724;54;7358;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 4P+;8,3;9,5;11,5;13,3;15;11,6;750;825;1000;1252;1550;1092;95;762;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 1P;14;15,8;17,7;20,4;23,6;17,7;410;465;509;560;610;518;29;2163;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 2P;11;12,5;14,1;16,3;18,9;14,2;500;593;660;730;809;659;46;2624;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 3P;9,1;10,7;12,5;14,1;15,6;12,4;600;700;810;950;1092;832;67;1809;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;1. Moins de 1 an;;11,8;13,5;15,2;18,1;21,4;15;485;540;674;840;1100;738;49;1525;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;3. Entre 1971-1990;2. 1 an et plus;;9,5;11,5;13,6;16,5;19,2;13,1;460;540;670;827;1000;720;55;5833;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;;10,7;12,7;15;17,5;20;14,4;490;600;720;904;1160;784;54;3621;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 4P+;9;10,3;12;14,1;17,4;12,5;800;1000;1101;1393;1646;1201;96;339;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 1P;12,8;15,5;18,4;21;23,1;17,8;400;437;502;550;600;502;28;785;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 2P;12,2;13,9;15,6;17,3;19,3;15,5;550;603;690;755;817;687;44;1638;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 3P;9,7;11,9;13,9;15,6;17,8;13,7;650;772;900;1038;1200;917;67;859;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;1. Moins de 1 an;;11,4;13,8;15,3;17,9;20;15;516;600;720;905;1160;801;53;769;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;4. Entre 1991-2005;2. 1 an et plus;;10,4;12,4;14,9;17,4;20;14,2;473;600;717;904;1156;778;55;2852;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;;;11,1;13,5;15,6;18;20;14,8;488;617;740;865;1050;769;52;4669;136314;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 4P+;7;9,6;12,5;14,5;17;12;724;860;1080;1395;1725;1197;100;387;17931;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 1P;14;16,4;18,2;20,2;21,8;17,9;400;420;495;546;612;502;28;782;26453;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 2P;13,6;15;16,7;18,6;20,2;16,6;571;636;700;770;845;704;42;2167;50658;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 3P;10,4;12,4;13,7;15,5;17,6;13,8;686;770;850;966;1100;875;64;1333;41273;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;1. Moins de 1 an;;12,6;14;16,2;18,7;20,6;15,7;510;628;742;870;1020;767;49;1239;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;;5. Après 2005;2. 1 an et plus;;10,4;13,2;15,3;17,7;19,6;14,4;477;612;740;860;1080;769;53;3430;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;;;;7,9;10;12,2;15,4;18;12,2;520;700;950;1300;1600;1046;86;593;13347;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;;;Maison 1-3P;;;;;;;;;;;;;;220;;
B0600;2019;Agglomération de Nice-Menton;;Maison;;;Maison 4P+;;;;;;;;;;;;;;373;;
B0600;2019;Agglomération de Nice-Menton;;Maison;;1. Moins de 1 an;;;;;;;;;;;;;;;71;;
B0600;2019;Agglomération de Nice-Menton;;Maison;;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;25;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;46;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;;2. 1 an et plus;;;;;;;;;;;;;;;522;;
B0600;2019;Agglomération de Nice-Menton;;Maison;;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;195;;
B0600;2019;Agglomération de Nice-Menton;;Maison;;2. 1 an et plus;Maison 4P+;;;;;;;;;;;;;;327;;
B0600;2019;Agglomération de Nice-Menton;;Maison;1. Avant 1946;;;;;;;;;;;;;;;;157;;
B0600;2019;Agglomération de Nice-Menton;;Maison;1. Avant 1946;;Maison 1-3P;;;;;;;;;;;;;;82;;
B0600;2019;Agglomération de Nice-Menton;;Maison;1. Avant 1946;;Maison 4P+;;;;;;;;;;;;;;75;;
B0600;2019;Agglomération de Nice-Menton;;Maison;1. Avant 1946;1. Moins de 1 an;;;;;;;;;;;;;;;15;;Estimation directe
B0600;2019;Agglomération de Nice-Menton;;Maison;1. Avant 1946;2. 1 an et plus;;;;;;;;;;;;;;;142;;
B0600;2019;Agglomération de Nice-Menton;;Maison;2. Entre 1946-1970;;;;;;;;;;;;;;;;127;;
