
NUM;DATE;JACKPOT;N1;N2;N3;N4;N5;E1;E2;NBJEU;EU1;EU2;EU3;EU4;EU5;EU6;EU7;EU8;EU9;EU10;EU11;EU12;NB1;NB2;NB3;NB4;NB5;NB6;NB7;NB8;NB9;NB10;NB11;NB12;MT1;MT2;MT3;MT4;MT5;MT6;MT7;MT8;MT9;MT10;MT11;MT12;
1491;2022-01-04;0;18;28;35;36;41;6;11;17289164;0;0;4;15;441;914;986;14142;19243;44666;78161;294292;0;0;0;6;98;170;250;2969;3916;9334;16306;59817;0,00;0,00;153095,50;2408,90;150,90;76,90;50,10;17,40;14,30;11,40;7,90;6,60;
1490;2021-12-31;0;7;22;25;43;49;6;7;31948366;1;13;14;63;1422;2488;2843;33903;52251;97175;175632;729226;1;5;0;14;238;522;411;7132;11128;18524;37113;158994;17571602,00;70556,70;15312,30;1059,80;86,40;52,20;32,10;13,40;9,70;9,70;6,50;4,90;
1489;2021-12-28;78000000;4;6;15;17;29;9;12;21576011;1;5;20;29;855;1266;2372;17231;33956;90446;87730;447127;1;1;3;7;182;253;571;3252;7278;20102;16501;91443;79411191,00;123889,40;7238,70;1554,90;97,10;69,30;26,00;17,90;10,10;7,00;8,80;5,40;
1488;2021-12-24;68000000;2;26;28;34;41;5;10;30481083;0;9;12;42;931;1477;1810;20595;37634;70096;104598;501404;0;2;1;13;199;331;348;4371;8146;14678;21717;107916;0,00;437555,90;29218,20;1990,70;162,50;75,00;52,70;16,00;13,50;10,90;7,20;6,10;
1487;2021-12-21;51000000;12;17;21;34;38;2;3;20501800;0;0;5;48;751;2196;1409;34116;35775;70036;186957;547917;0;0;1;12;154;511;252;8505;7593;14388;47987;123156;0,00;65400,70;11463,90;1020,20;84,70;56,40;32,30;14,20;8,60;8,60;7,00;4,60;
1486;2021-12-17;40000000;1;2;15;30;35;2;7;25645674;0;0;5;48;751;2196;1409;34116;35775;70036;186957;547917;0;0;1;12;154;511;252;8505;7593;14388;47987;123156;0,00;0,00;181673,90;1116,60;131,40;47,50;52,00;10,70;11,40;10,80;4,90;5,30;
1485;2021-12-14;26000000;19;21;37;47;48;3;6;18722485;0;2;5;28;535;1278;1122;20117;23986;50934;115410;372695;0;1;1;4;119;299;202;4640;4880;10288;27218;77932;0,00;268761,20;25125,50;1397,40;134,70;59,60;47,70;13,30;12,40;10,90;5,80;5,60;
1484;2021-12-10;0;11;21;33;38;42;2;8;24483234;0;1;9;51;858;2416;1868;34309;36195;78448;177263;511808;0;0;2;11;183;531;388;7916;8054;17411;41368;117705;0,00;702913,60;18253,60;1003,30;109,80;41,20;37,40;10,20;10,70;9,20;4,90;5,40;
1483;2021-12-07;143000000;22;31;38;46;47;7;11;29155502;1;2;8;38;744;1666;1596;26098;36010;77524;147002;534527;0;0;5;2;163;340;348;5668;7946;16582;31700;117279;143469842,00;418527,20;24454,10;1603,50;150,80;71,20;52,20;15,90;12,90;11,10;7,10;6,10;
1482;2021-12-03;130000000;21;22;29;32;46;9;10;41239142;0;1;3;23;493;1049;1105;16002;23029;53637;86639;352475;0;0;0;5;105;212;234;3247;4910;11199;18284;74404;0,00;197329,20;30746,00;1915,30;154,20;80,10;49,10;18,80;12,90;10,40;8,80;6,00;
1481;2021-11-30;0;19;20;26;33;43;1;4;18241443;0;1;3;23;493;1049;1105;16002;23029;53637;86639;352475;0;0;0;5;105;212;234;3247;4910;11199;18284;74404;0,00;523711,80;40800,00;1657,50;142,40;70,70;47,20;16,30;12,60;10,10;7,50;5,80;
1480;2021-11-26;163000000;1;20;41;42;50;3;7;37225002;1;7;7;42;927;2410;2039;43207;43094;95975;279019;684207;1;0;1;8;194;489;423;9317;8509;18835;62513;142841;162289050,00;152675,60;35682,80;1852,30;154,60;62,80;52,20;12,30;13,70;11,50;4,70;6,10;
1479;2021-11-23;145000000;17;21;36;42;46;7;10;27664295;0;2;8;40;831;1796;1819;25664;36160;95105;141863;534870;0;0;1;4;158;352;322;5402;7114;15243;31485;108984;0,00;397120,90;23203,40;1445,40;128,10;62,60;43,40;15,40;12,20;10,40;7,00;5,80;
